MSA Code,MSA Title,State FIPS Code,State Name,PUMA Code,PUMA Name,MSA 2010 Population,PUMA 2010 Population,Intersection 2010 Population,Percent MSA Population,Percent PUMA Population
17900,"Columbia, SC",45,South Carolina,603,Richland (North) & Fairfield Counties--Forest Acres City & Dentsville PUMA,"767,598","175,957","175,957",22.92,100.00
17900,"Columbia, SC",45,South Carolina,604,Richland County (Central)--Columbia City PUMA,"767,598","202,939","202,939",26.44,100.00
17900,"Columbia, SC",45,South Carolina,605,"Kershaw, Richland (South) & Calhoun Counties PUMA","767,598","106,436","106,436",13.87,100.00
24660,"Greensboro-High Point, NC",37,North Carolina,300,Rockingham & Stokes Counties PUMA,"723,801","141,044","93,643",12.94,66.39
24660,"Greensboro-High Point, NC",37,North Carolina,1701,Greensboro City (North) PUMA,"723,801","131,111","131,111",18.11,100.00
24660,"Greensboro-High Point, NC",37,North Carolina,1702,Greensboro City (South) PUMA,"723,801","109,656","109,656",15.15,100.00
24660,"Greensboro-High Point, NC",37,North Carolina,1703,Guilford County (North)--Summerfield Town PUMA,"723,801","114,591","114,591",15.83,100.00
24660,"Greensboro-High Point, NC",37,North Carolina,1704,Guilford County (South)--High Point City PUMA,"723,801","133,048","133,048",18.38,100.00
24660,"Greensboro-High Point, NC",37,North Carolina,3600,Randolph County PUMA,"723,801","141,752","141,752",19.58,100.00
10420,"Akron, OH",39,Ohio,1700,Portage County PUMA,"703,200","161,419","161,419",22.95,100.00
10420,"Akron, OH",39,Ohio,1801,"Summit County (North & Northwest)--Hudson, Twinsburg & Macedonia Cities PUMA","703,200","113,911","113,911",16.20,100.00
10420,"Akron, OH",39,Ohio,1802,"Summit County (East Central)--Cuyahoga Falls (Southeast), Stow & Tallmadge Cities PUMA","703,200","109,210","109,210",15.53,100.00
10420,"Akron, OH",39,Ohio,1803,Summit County (Central)--Akron City (East) PUMA,"703,200","105,482","105,482",15.00,100.00
10420,"Akron, OH",39,Ohio,1804,Summit County (Central)--Akron (West) & Cuyahoga Falls (West) Cities PUMA,"703,200","108,807","108,807",15.47,100.00
10420,"Akron, OH",39,Ohio,1805,"Summit County (South)--Barberton, Green & New Franklin Cities PUMA","703,200","104,371","104,371",14.84,100.00
35840,"North Port-Sarasota-Bradenton, FL",12,Florida,8101,Manatee County (North) PUMA,"702,281","107,538","107,538",15.31,100.00
35840,"North Port-Sarasota-Bradenton, FL",12,Florida,8102,Manatee County (West Central) PUMA,"702,281","113,948","113,948",16.23,100.00
35840,"North Port-Sarasota-Bradenton, FL",12,Florida,8103,Manatee County (South) PUMA,"702,281","101,347","101,347",14.43,100.00
35840,"North Port-Sarasota-Bradenton, FL",12,Florida,11501,Sarasota County (North) PUMA,"702,281","123,642","123,642",17.61,100.00
35840,"North Port-Sarasota-Bradenton, FL",12,Florida,11502,Sarasota County (Central & Gulf Coast) PUMA,"702,281","131,395","131,395",18.71,100.00
35840,"North Port-Sarasota-Bradenton, FL",12,Florida,11503,Sarasota County (East) PUMA,"702,281","124,411","124,411",17.72,100.00
30780,"Little Rock-North Little Rock-Conway, AR",5,Arkansas,900,"Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities PUMA","699,757","197,726","197,726",28.26,100.00
30780,"Little Rock-North Little Rock-Conway, AR",5,Arkansas,1000,Pulaski County (Central)--Little Rock City PUMA,"699,757","185,022","185,022",26.44,100.00
30780,"Little Rock-North Little Rock-Conway, AR",5,Arkansas,1100,Faulkner & Lonoke Counties PUMA,"699,757","181,593","181,593",25.95,100.00
30780,"Little Rock-North Little Rock-Conway, AR",5,Arkansas,1200,Saline County PUMA,"699,757","107,118","107,118",15.31,100.00
30780,"Little Rock-North Little Rock-Conway, AR",5,Arkansas,1300,"Pope, Johnson, Yell, Conway & Perry Counties PUMA","699,757","141,197","10,445",1.49,7.40
30780,"Little Rock-North Little Rock-Conway, AR",5,Arkansas,1700,"Jefferson, Grant & Arkansas (Northwest) Counties PUMA","699,757","106,729","17,853",2.55,16.73
44700,"Stockton-Lodi, CA",6,California,7701,San Joaquin County (Central)--Stockton City (North) PUMA,"685,306","173,937","173,937",25.38,100.00
44700,"Stockton-Lodi, CA",6,California,7702,San Joaquin County (Central)--Stockton City (South) PUMA,"685,306","152,010","152,010",22.18,100.00
44700,"Stockton-Lodi, CA",6,California,7703,"San Joaquin County (South)--Tracy, Manteca & Lathrop Cities PUMA","685,306","195,536","195,536",28.53,100.00
44700,"Stockton-Lodi, CA",6,California,7704,"San Joaquin County (North)--Lodi, Ripon & Escalon Cities PUMA","685,306","163,823","163,823",23.91,100.00
16700,"Charleston-North Charleston, SC",45,South Carolina,1201,Dorchester (North & West) & Berkeley (Southwest) Counties--Summerville Town & Ladson PUMA,"664,607","141,766","141,766",21.33,100.00
16700,"Charleston-North Charleston, SC",45,South Carolina,1202,Charleston (South & West) & Berkeley (South) Counties--Charleston City PUMA,"664,607","192,682","192,682",28.99,100.00
16700,"Charleston-North Charleston, SC",45,South Carolina,1203,Charleston (Northeast) & Berkeley (North & East) Counties--Mount Pleasant Town PUMA,"664,607","137,366","137,366",20.67,100.00
16700,"Charleston-North Charleston, SC",45,South Carolina,1204,"Charleston, Berkeley & Dorchester Counties--North Charleston City PUMA","664,607","192,793","192,793",29.01,100.00
45060,"Syracuse, NY",36,New York,600,Oswego County PUMA,"662,577","122,109","122,109",18.43,100.00
45060,"Syracuse, NY",36,New York,701,Onondaga County (Central)--Syracuse City PUMA,"662,577","145,168","145,168",21.91,100.00
45060,"Syracuse, NY",36,New York,702,Onondaga County (North) PUMA,"662,577","124,199","124,199",18.74,100.00
45060,"Syracuse, NY",36,New York,703,Onondaga County (Central)--Syracuse City (Outer) PUMA,"662,577","162,446","162,446",24.52,100.00
45060,"Syracuse, NY",36,New York,704,Cayuga & Onondaga (South) Counties PUMA,"662,577","115,239","35,213",5.31,30.56
45060,"Syracuse, NY",36,New York,1500,Madison & Cortland Counties PUMA,"662,577","122,778","73,442",11.08,59.82
17820,"Colorado Springs, CO",8,Colorado,4101,El Paso (Outside Colorado Springs City) & Teller Counties--Fountain City PUMA,"645,613","111,548","111,548",17.28,100.00
17820,"Colorado Springs, CO",8,Colorado,4102,El Paso County (West Central)--Colorado Springs City (West) PUMA,"645,613","107,035","107,035",16.58,100.00
