occ_code,occ_name,occ_cat_name
7210,Bus and Truck Mechanics and Diesel Engine Specialists,"Installation, Maintenance, and Repair Occupations"
7220,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,"Installation, Maintenance, and Repair Occupations"
7240,Small Engine Mechanics,"Installation, Maintenance, and Repair Occupations"
7260,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers, nec","Installation, Maintenance, and Repair Occupations"
7300,Control and Valve Installers and Repairers,"Installation, Maintenance, and Repair Occupations"
7315,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Installation, Maintenance, and Repair Occupations"
7320,Home Appliance Repairers,"Installation, Maintenance, and Repair Occupations"
7330,Industrial and Refractory Machinery Mechanics,"Installation, Maintenance, and Repair Occupations"
7340,"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair Occupations"
7350,"Maintenance Workers, Machinery","Installation, Maintenance, and Repair Occupations"
7360,Millwrights,"Installation, Maintenance, and Repair Occupations"
7410,Electrical Power-Line Installers and Repairers,"Installation, Maintenance, and Repair Occupations"
7420,Telecommunications Line Installers and Repairers,"Installation, Maintenance, and Repair Occupations"
7430,Precision Instrument and Equipment Repairers,"Installation, Maintenance, and Repair Occupations"
7510,"Coin, Vending, and Amusement Machine Servicers and Repairers","Installation, Maintenance, and Repair Occupations"
7540,Locksmiths and Safe Repairers,"Installation, Maintenance, and Repair Occupations"
7550,Manufactured Building and Mobile Home Installers,"Installation, Maintenance, and Repair Occupations"
7560,Riggers,"Installation, Maintenance, and Repair Occupations"
7610,"Helpers--Installation, Maintenance, and Repair Workers","Installation, Maintenance, and Repair Occupations"
7630,"Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Switch Repairers","Installation, Maintenance, and Repair Occupations"
7700,First-Line Supervisors of Production and Operating Workers,Production Occupations
7710,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Production Occupations
7720,"Electrical, Electronics, and Electromechanical Assemblers",Production Occupations
7730,Engine and Other Machine Assemblers,Production Occupations
7740,Structural Metal Fabricators and Fitters,Production Occupations
7750,"Assemblers and Fabricators, nec",Production Occupations
7800,Bakers,Production Occupations
7810,"Butchers and Other Meat, Poultry, and Fish Processing Workers",Production Occupations
7830,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Production Occupations
7840,Food Batchmakers,Production Occupations
7850,Food Cooking Machine Operators and Tenders,Production Occupations
7855,"Food Processing, nec",Production Occupations
7900,Computer Control Programmers and Operators,Production Occupations
7920,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations
7930,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations
7940,"Rolling Machine Setters, Operators, and Tenders, metal and Plastic",Production Occupations
7950,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations
7960,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production Occupations
8000,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production Occupations
8010,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production Occupations
8030,Machinists,Production Occupations
8040,"Metal Furnace Operators, Tenders, Pourers, and Casters",Production Occupations
8060,"Model Makers and Patternmakers, Metal and Plastic",Production Occupations
8100,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations
8130,Tool and Die Makers,Production Occupations
